Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
PFL,Pokhara Finance Ltd. (PFL),Finance,"10,825,566.05","-117.86 (FY:081-082, Q:2)",-3.83,53.97,8.36,"4,882,330,288.55",,,"1:0.15
                                
                                    (FY:074-075)"
KEF,Kumari Equity Fund (KEF),Mutual Fund,"100,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"900,000,000.00","9.50
                                
                                    (FY:080-081)",,
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited  (SWMF),Microfinance,"11,062,862.96","6.78 (FY:081-082, Q:2)",111.52,137.35,5.5,"8,364,630,684.06",,,
SBCF,Sunrise Bluechip Fund (SBCF),Mutual Fund,"125,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,128,750,000.00",,,
RHGCL,Rapti Hydro and General Construction Limited (RHGCL),Hydro Power,"6,127,938.00","-0.79 (FY:081-082, Q:2)",-725.7,94.42,6.07,"3,513,146,855.40",,,"100:33.16
                                
                                    (FY:074-075)"
SPILPO,Siddhartha Premier Insurance Limited Promoter Share (SPILPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,426,0,,,
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited (JSLBB),Microfinance,"1,700,919.00","-9.32 (FY:081-082, Q:2)",-161.7,100,15.07,"2,563,284,933.00",,,"1:1
                                
                                    (FY:075-076)"
GLICLP,Gurans Life Insurance Company Ltd. Promoter Share (GLICLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,382,0,"0.52
                                
                                    (FY:071-072)","10.00
                                
                                    (FY:071-072)",
NRBBR2085Gha,Bikash Rinpatra 2085 Gha (NRBBR2085GHA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
CZBILP,Citizens Bank Internatioal Limited Promoter Share (CZBILP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,116,0,"1.05
                                
                                    (FY:071-072)","20.00
                                
                                    (FY:071-072)","10:04
                                
                                    (FY:071-072)"
NLICLP,National Life Insurance Co. Ltd. Promoter Share (NLICLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,293.5,0,"8.00
                                
                                    (FY:070-071)","30.00
                                
                                    (FY:070-071)",
SWBBLP,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share (SWBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,782,0,"10.63
                                
                                    (FY:071-072)","42.00
                                
                                    (FY:071-072)",
GIBF1,Global IME Balanced Fund-1 (GIBF1),Mutual Fund,"102,576,360.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,015,505,964.00","5.00
                                
                                    (FY:080-081)",,
UAIL,United Ajod Insurance Limited  (UAIL),Non-Life Insurance,"21,000,000.00","6.64 (FY:081-082, Q:2)",100.02,180.6,3.68,"13,946,100,000.00",,,
MKCL,Muktinath Krishi Company Limited (MKCL),Others,"7,000,000.00","4.19 (FY:081-082, Q:2)",382.82,94.41,16.99,"11,228,000,000.00",,,"1:0.55
                                
                                    (FY:079-080)"
PMLIP,Prabhu Mahalaxmi Life Insurance Limited promotor (PMLIP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,270,0,,,
HURJA,Himalaya Urja Bikas Company Limited (HURJA),Hydro Power,"19,800,000.00","6.94 (FY:081-082, Q:2)",35.04,92.16,2.64,"4,815,360,000.00",,,"1:1
                                
                                    (FY:081-082)"
GMFBSP,Ganapati Laghubitta Bittiya Sanstha Limited Promoter Share (GMFBSP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
LBBLPO,Lumbini Bikas Bank Ltd. Promoter Share (LBBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,261,0,,,
RIDI,Ridi Power Company Limited (RIDI),Hydro Power,"23,233,518.00","2.14 (FY:081-082, Q:2)",107.01,95.1,2.41,"5,320,475,622.00",,,"1:0.5
                                
                                    (FY:080-081)"
NIBLSF,NIBL Sahabhagita Fund (NIBLSF),Mutual Fund,"36,516,605.00","0.00 (FY:081-082, Q:10)",0,0,0,0,,,
SMBPO,Support Laghubitta Bittiya Sanstha Limited Promoter Share (SMBPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,750,0,,,
NMBD89/90,NMB Debenture 10.75%-2089/2090 (NMBD89/90),Corporate Debenture,"4,000,000.00","0.00 (FY:, Q:0)",0,0,"1,201.00","4,804,000,000.00",,,
NICAD85/86,NIC Asia Debenture 2085/86 (NICAD85/86),Corporate Debenture,"2,404,688.00","0.00 (FY:, Q:0)",0,0,"1,100.00","2,645,156,800.00",,,
NRBBR2071Kha,Bikash Rinpatra 2071 Kha (NRBBR2071KHA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NICLBSL,NIC Asia Laghubitta Biitiya Sanstha Limited (NICLBSL),Microfinance,"17,394,400.00","0.48 (FY:081-082, Q:2)","1,379.79",147.45,4.49,"11,520,311,120.00",,,
IGI,IGI Prudential Insurance Company Limited (IGI),Non-Life Insurance,"30,293,346.39","9.45 (FY:081-082, Q:2)",64.23,190.94,3.18,"18,388,061,258.73",,,"10:4
                                
                                    (FY:078-079)"
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited (NMLBBL),Microfinance,"13,977,645.45","-8.97 (FY:081-082, Q:2)",-75.3,184.24,3.67,"9,440,501,736.93",,,
KKHC,Khanikhola Hydropower Co. Ltd. (KKHC),Hydro Power,"4,657,143.00","-7.30 (FY:081-082, Q:2)",-49.18,76.88,4.67,"1,671,914,337.00",,,
MANDU,Mandu Hydropower Ltd. (MANDU),Hydro Power,"13,636,370.00","23.77 (FY:081-082, Q:2)",38.12,146.98,6.16,"12,354,551,220.00",,,
NIBSF2,NIBL Samriddhi Fund 2 (NIBSF2),Mutual Fund,"150,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,245,000,000.00",,,
NGPL,Ngadi Group Power Ltd. (NGPL),Hydro Power,"18,512,792.23","2.51 (FY:081-082, Q:2)",110,214.99,1.28,"5,111,381,934.70","0.25
                                
                                    (FY:078-079)","4.75
                                
                                    (FY:078-079)","1:1
                                
                                    (FY:081-082)"
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd (SMFBS),Microfinance,"1,461,385.80","27.83 (FY:081-082, Q:2)",67.59,159.88,11.77,"2,748,866,689.80",,,
NBLD82,10% Nabil Debenture 2082 (NBLD82),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,078.00",0,,,
CZBIL,Citizen Bank International Limited (CZBIL),Commercial Banks,"147,690,129.66","8.96 (FY:081-082, Q:2)",23.5,150.39,1.4,"31,103,541,306.40","0.21
                                
                                    (FY:080-081)","4.00
                                
                                    (FY:080-081)","10:2.5
                                
                                    (FY:072-073)"
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited (ACLBSL),Microfinance,"3,671,434.09","17.79 (FY:081-082, Q:2)",62.68,139.92,7.97,"4,093,649,010.35",,,
